,FileName,ProductID,density,xmax,xmin,ymax,ymin,xmaxY,xminY,ymaxX,yminX,outFile,Weight
0,1500276892.jpg,20001,32196712,489,76,513,57,306,298,346,283,1500276892.jpg,5.94
1,1500277002.jpg,20001,38163151,561,67,590,117,396,280,296,241,1500277002.jpg,6.2
2,1500277036.jpg,20001,35409978,483,26,445,23,285,267,196,224,1500277036.jpg,6.04
3,1500277171.jpg,20001,35608799,524,54,498,81,321,217,331,326,1500277171.jpg,6.48
4,1500277182.jpg,20001,38085989,538,78,530,101,267,330,264,384,1500277182.jpg,6.34
5,1500277274.jpg,20001,37649776,499,57,503,64,400,250,276,324,1500277274.jpg,6.48
6,1500277315.jpg,20001,38284994,549,38,548,65,480,234,306,244,1500277315.jpg,6.48
7,1500277436.jpg,20001,33698649,455,20,506,70,350,336,239,202,1500277436.jpg,6.3
8,1500277597.jpg,20001,29667076,445,46,459,38,366,405,307,212,1500277597.jpg,5.26
9,1500277666.jpg,20001,41932228,628,63,574,111,472,175,258,237,1500277666.jpg,6.5
10,1500277697.jpg,20001,32694752,476,14,402,11,196,229,171,158,1500277697.jpg,5.4
11,1500283844.jpg,20001,37943096,516,29,507,68,265,360,228,245,1500283844.jpg,5.84
12,1500283898.jpg,20001,36604342,464,20,482,29,215,309,236,317,1500283898.jpg,5.8
13,1500284057.jpg,20001,36614855,429,26,478,21,232,304,152,209,1500284057.jpg,6.36
14,1500284224.jpg,20001,41447150,530,19,455,8,216,254,257,45,1500284224.jpg,6.48
15,1500284471.jpg,20001,38421202,517,42,525,62,269,299,288,301,1500284471.jpg,6.22
16,1500284550.jpg,20001,40512167,588,112,549,101,385,309,315,302,1500284550.jpg,6.48
17,1500284916.jpg,20001,40614263,507,30,507,39,222,288,312,275,1500284916.jpg,6.5
18,1500284923.jpg,20001,36972745,437,6,457,9,219,125,99,219,1500284923.jpg,6.46
19,1500284948.jpg,20001,38363406,587,98,514,83,313,306,420,318,1500284948.jpg,6.12
20,1500285311.jpg,20001,33397437,449,15,405,12,210,204,248,285,1500285311.jpg,5.6
21,1500285329.jpg,20001,32781932,531,56,446,27,208,258,192,374,1500285329.jpg,6.34
22,1500285542.jpg,20001,30182999,431,4,408,21,178,173,70,268,1500285542.jpg,6.46
23,1500285630.jpg,20001,34316851,548,109,500,81,365,274,290,267,1500285630.jpg,6.26
24,1500285668.jpg,20001,41589914,517,48,552,93,316,285,213,173,1500285668.jpg,6.14
25,1500285706.jpg,20001,35427243,529,83,515,92,326,352,347,341,1500285706.jpg,6.16
