,Original_Labels_Color,Log_Reg Prediction,DTC Prediction,Weight,Colour_Predition_1000,Colour_Predition_25,Colour_Predition_50,Colour_Predition_100,Colour_Predition_150,BW_Predition_100,BW_Predition_1000,BW_Predition_25,BW_Predition_50,BW_Predition_150,Colour_Predition_Weight
0,0,2,0,5.94,0,0,0,0,0,0,0,0,0,2,0
1,0,2,2,6.2,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,6.04,0,0,0,0,0,0,0,0,0,0,0
3,0,4,4,6.48,0,0,0,0,0,0,0,0,0,2,0
4,0,2,0,6.34,0,0,0,0,0,0,0,2,2,2,0
5,0,2,0,6.48,0,0,0,0,0,0,0,0,0,0,0
6,0,2,2,6.48,2,0,0,0,0,0,2,0,2,2,0
7,0,2,0,6.3,0,0,0,0,0,0,0,0,0,0,0
8,0,2,2,5.26,0,0,0,0,0,0,0,0,0,0,0
9,0,4,2,6.5,0,0,0,2,0,2,2,2,2,2,2
10,0,4,0,5.4,0,0,0,0,0,0,0,0,0,0,0
11,0,2,2,5.84,0,2,0,2,0,2,2,2,2,2,0
12,0,2,0,5.8,0,0,0,0,0,0,0,0,0,0,0
13,0,2,0,6.36,0,0,0,0,0,0,2,0,0,0,0
14,0,4,0,6.48,0,0,2,2,0,0,0,0,0,0,2
15,0,2,0,6.22,0,0,0,0,0,0,0,2,0,0,0
16,0,2,0,6.48,2,0,0,0,0,0,0,0,0,0,0
17,0,4,0,6.5,0,0,0,0,0,0,0,0,0,0,0
18,0,4,0,6.46,0,0,0,0,0,0,0,0,0,0,0
19,0,2,0,6.12,0,0,0,0,0,0,0,0,0,0,0
20,0,4,0,5.6,0,0,0,0,0,0,0,0,0,0,0
21,0,4,0,6.34,0,3,0,0,0,0,0,0,0,0,0
22,0,4,0,6.46,0,0,0,0,0,2,2,2,0,0,0
23,0,2,4,6.26,0,0,0,0,0,0,0,0,0,0,0
24,0,2,0,6.14,0,2,0,0,0,0,0,0,0,0,0
25,0,2,0,6.16,0,0,0,0,0,0,0,0,0,0,0
26,0,2,0,6.04,0,0,0,0,0,0,0,0,0,0,0
27,0,4,4,6.48,0,0,0,0,0,0,0,0,0,0,0
28,0,4,0,5.56,0,0,0,0,0,0,0,0,0,0,0
29,0,2,0,6.46,0,0,0,0,0,0,0,0,0,0,0
30,0,2,0,5.24,0,0,0,0,0,0,0,0,0,0,0
31,0,4,0,5.54,0,0,0,0,0,0,0,2,0,2,0
32,0,2,2,4.96,4,4,4,4,4,4,4,4,4,4,4
33,0,2,0,5.98,0,0,0,0,0,0,0,4,4,0,0
34,0,2,2,4.18,0,0,0,0,0,0,4,0,0,0,0
35,0,2,4,6.3,0,0,0,0,0,0,0,0,0,0,0
36,0,2,4,4.12,0,0,0,0,0,0,2,2,2,0,0
37,0,4,4,9.16,0,0,0,0,0,0,4,4,4,0,0
38,0,4,4,8.7,0,0,4,0,0,0,0,0,0,0,0
39,0,4,4,8.44,2,0,2,2,0,0,0,0,0,0,0
40,0,4,4,6.08,0,0,2,0,0,0,0,0,0,0,0
41,0,4,4,7.36,0,0,0,0,0,0,0,0,4,0,0
42,0,2,2,5.0,0,0,0,0,0,2,2,2,2,2,0
43,0,2,2,5.62,0,0,4,0,0,0,0,2,2,2,0
44,0,4,4,7.2,0,0,0,0,0,0,0,0,0,0,0
45,0,2,2,5.78,0,0,0,0,0,0,0,0,0,4,0
46,0,2,2,5.78,0,0,0,0,0,0,2,2,2,2,0
47,0,4,4,6.04,0,0,0,0,0,0,0,0,0,0,0
48,0,2,2,5.36,0,0,0,0,0,0,0,0,0,0,0
49,0,2,2,5.08,0,0,0,0,0,0,0,0,0,0,0
50,0,4,4,5.56,0,0,0,0,0,0,0,0,0,0,0
51,0,2,2,5.38,0,0,0,0,0,0,0,0,0,0,0
52,0,4,4,6.78,0,0,0,0,0,0,0,0,0,0,0
53,0,2,0,5.72,0,0,0,0,0,0,0,0,0,0,0
54,0,4,2,5.66,0,2,0,0,0,0,0,0,0,0,0
55,0,2,2,6.04,0,2,0,0,0,0,4,4,4,4,0
56,0,2,4,6.06,0,2,0,0,0,0,0,2,0,0,0
57,0,4,4,5.64,0,0,0,0,0,0,0,0,0,0,0
58,0,4,4,5.96,0,0,0,0,0,0,4,0,4,0,0
59,0,4,4,6.38,0,0,0,0,0,0,4,4,4,0,0
60,0,2,0,6.02,0,0,0,0,0,4,4,0,4,0,0
61,0,4,0,6.0,0,0,0,0,0,0,0,0,4,0,0
62,0,2,4,6.7,0,0,0,0,0,0,0,0,0,0,0
63,0,4,4,6.18,0,0,0,0,0,0,0,0,0,0,0
64,0,2,4,6.28,0,0,0,0,0,0,0,2,0,0,0
65,0,4,0,6.46,0,0,0,0,0,0,0,0,0,0,0
66,0,4,4,6.0,0,0,0,0,0,0,0,0,0,0,0
67,0,4,0,6.16,0,0,0,0,0,0,4,0,0,0,0
68,0,4,0,5.74,0,0,0,0,0,2,2,0,2,2,0
69,0,4,4,5.7,0,0,0,0,0,0,0,0,4,2,0
70,0,4,4,6.08,0,0,0,0,0,0,0,0,0,0,0
71,0,4,0,5.74,0,4,0,0,0,0,4,4,4,4,0
72,0,2,2,4.72,0,0,0,0,0,0,0,0,0,0,0
73,0,4,4,5.28,0,0,0,0,0,0,0,4,0,4,0
74,0,4,4,5.44,0,0,0,0,0,0,2,0,2,2,0
75,0,2,2,3.9,0,0,0,0,0,0,0,2,0,0,0
76,0,2,2,5.4,0,0,0,0,0,0,0,2,0,0,0
77,0,2,2,4.38,0,2,0,0,0,0,0,2,0,0,0
78,0,2,0,6.12,0,0,0,0,0,0,0,0,0,0,0
79,0,2,2,5.58,0,0,0,0,0,0,0,0,0,0,0
80,0,4,2,6.56,0,0,0,0,0,0,4,4,0,0,0
81,0,2,4,6.44,0,0,0,0,0,0,0,0,0,0,0
82,0,2,2,4.8,0,2,4,2,0,2,0,2,2,2,2
83,0,2,2,6.06,0,0,0,0,0,0,0,0,0,0,0
84,0,4,0,6.5,0,0,0,0,0,0,0,0,0,0,0
85,0,2,2,5.12,2,2,0,2,0,0,0,0,0,0,2
86,0,4,0,5.76,0,0,0,0,0,0,0,0,0,4,0
87,0,4,4,5.38,0,0,0,0,0,0,4,0,0,0,0
88,0,2,2,5.42,0,2,0,0,0,0,0,2,0,0,0
89,0,4,0,4.44,0,2,2,2,2,0,0,0,0,2,2
90,0,4,4,5.42,0,0,0,0,0,0,0,0,0,0,0
91,0,4,4,5.82,0,0,0,0,0,0,0,2,0,0,0
92,0,2,2,4.54,0,0,0,0,0,0,0,0,0,0,0
93,0,2,4,6.04,0,0,0,0,0,0,4,4,4,4,0
94,0,2,4,5.82,0,0,0,0,0,0,4,2,4,0,0
95,0,4,0,5.88,0,0,0,0,0,0,0,2,0,0,0
96,0,2,2,5.04,0,0,0,0,0,0,0,0,0,4,0
97,0,2,2,5.52,0,0,0,0,0,0,0,0,0,0,2
98,0,2,2,5.76,0,2,0,0,0,0,0,2,0,2,0
99,0,4,4,5.24,0,0,0,0,0,4,4,4,4,4,0
100,0,4,4,5.44,0,0,0,0,0,0,4,0,0,0,0
101,0,2,2,6.02,0,0,0,0,0,0,2,2,0,2,0
102,0,4,4,5.64,0,0,0,0,0,0,0,2,0,4,0
103,0,4,0,6.2,0,2,0,0,0,4,4,4,4,4,0
104,0,4,0,5.74,0,0,0,0,0,0,4,4,4,4,0
105,0,2,2,3.7,0,0,0,0,0,0,0,0,0,0,0
106,0,4,4,6.62,0,0,0,0,0,0,4,0,4,0,0
107,0,2,2,4.76,0,0,0,0,0,0,0,2,0,4,0
108,0,2,2,4.22,0,2,2,0,0,0,0,2,0,2,0
109,0,2,2,4.86,0,0,0,0,0,0,0,0,0,0,0
